cid,iupacname,smiles
91844787,(2R)-2-aminohexan-1-ol;hydrochloride,CCCC[C@H](CO)N.Cl
66570519,(2R)-2-(trifluoromethyl)pyrrolidine;hydrochloride,C1C[C@@H](NC1)C(F)(F)F.Cl
920113,[(3R)-1-methylpiperidin-3-yl]methanol,CN1CCC[C@H](C1)CO
400539,(2R)-2-(1-ethoxyethoxy)propan-1-ol,CCOC(C)O[C@H](C)CO
134993935,"(1'S,2'R,5'R,7'R)-spiro[cyclopropane-1,3'-tricyclo[3.2.0.02,7]heptane]",C1CC12C[C@H]3C[C@@H]4[C@H]3[C@H]24
57480759,"(3R)-2,2,3-trimethylpentane",CC[C@@H](C)C(C)(C)C
46936524,(2R)-2-(aminomethyl)-3-hydroxypropanoic acid,C([C@H](CO)C(=O)O)N
213522,(2R)-1-[(2R)-piperidin-2-yl]propan-2-ol,C[C@H](C[C@H]1CCCCN1)O
11378470,(2R)-2-methylhexanal,CCCC[C@@H](C)C=O
5324666,(1R)-1-phenylprop-2-en-1-ol,C=C[C@H](C1=CC=CC=C1)O
5325906,(2R)-2-acetyloxypropanoic acid,C[C@H](C(=O)O)OC(=O)C
139026238,"(4R)-2-sulfanylidene-(4,5-13C2)1,3-thiazolidine-4-carboxylic acid",[13CH2]1[13C@H](NC(=S)S1)[13C](=O)O
1084922,(1R)-1-pyridin-4-ylethanamine,C[C@H](C1=CC=NC=C1)N
9920382,"methyl (2R)-2,3-dihydroxypropanoate",COC(=O)[C@@H](CO)O
54572960,"(2R,3R)-4-amino-2,3-dihydroxy-4-oxobutanoic acid",[C@@H]([C@H](C(=O)O)O)(C(=O)N)O
11217859,(2R)-2-(4-bromophenyl)oxirane,C1[C@H](O1)C2=CC=C(C=C2)Br
11095291,"(2R)-2-chloro-2-(difluoromethoxy)-1,1,1-trifluoroethane",[C@@H](C(F)(F)F)(OC(F)F)Cl
11018916,(2R)-2-benzyloxirane,C1[C@H](O1)CC2=CC=CC=C2
7409,1-phenylethanol,CC(C1=CC=CC=C1)O
10953561,(2R)-2-[(2R)-1-hydroxypropan-2-yl]oxypropan-1-ol,C[C@H](CO)O[C@H](C)CO
11008052,ethyl (2R)-2-hydroxy-3-methylbutanoate,CCOC(=O)[C@@H](C(C)C)O
23678817,"sodium (2S,3S)-2-hydroxy-3-methylpentanoate",CC[C@H](C)[C@@H](C(=O)[O-])O.[Na+]
58515553,(2R)-2-amino-3-(cyclopropylmethylsulfanyl)propan-1-ol,C1CC1CSC[C@@H](CO)N
71301744,(2R)-4-amino-2-hydroxybutanoic acid;hydrochloride,C(CN)[C@H](C(=O)O)O.Cl
44828692,(2R)-2-ethylpiperazine;dihydrochloride,CC[C@@H]1CNCCN1.Cl.Cl
44205355,methyl (2R)-2-aminopent-4-ynoate,COC(=O)[C@@H](CC#C)N
5715192,"(4R)-5,5-dimethyl-1,3-thiazolidine-4-carboxylic acid",CC1([C@H](NCS1)C(=O)O)C
11355467,(5R)-5-hydroxypiperidin-2-one,C1CC(=O)NC[C@@H]1O
641547,(3R)-3-hydroxypyrrolidin-2-one,C1CNC(=O)[C@@H]1O
119025853,(3R)-3-methyl-1-nitrosopiperidine,C[C@@H]1CCCN(C1)N=O
58691246,(2R)-2-amino-2-(1-hydroxycyclopropyl)acetic acid,C1CC1([C@H](C(=O)O)N)O
53487228,(1R)-1-pyridin-4-ylethanamine;hydrochloride,C[C@H](C1=CC=NC=C1)N.Cl
