Molecule_ID,Name,SMILES,Handedness
Mol_145,"(2R)-2-bromo-1,1,1-trifluoropropane",C[C@@H](Br)C(F)(F)F,R
Mol_146,"(2R)-2-bromo-1,1,1-trifluoropropane_enantiomer",C[C@H](Br)C(F)(F)F,S
Mol_147,"(3R)-3,5-dihydroxy-3-methylpentanenitrile",C[C@@](O)(CC#N)CCO,R
Mol_148,"(3R)-3,5-dihydroxy-3-methylpentanenitrile_enantiomer",C[C@](O)(CC#N)CCO,S
Mol_149,(2R)-1-amino-3-propan-2-yloxypropan-2-ol,CC(C)OC[C@H](O)CN,R
Mol_150,(2R)-1-amino-3-propan-2-yloxypropan-2-ol_enantiomer,CC(C)OC[C@@H](O)CN,S
Mol_151,(2R)-2-methyl-1-propan-2-ylpiperazine,CC(C)N1CCNC[C@H]1C,R
Mol_152,(2R)-2-methyl-1-propan-2-ylpiperazine_enantiomer,CC(C)N1CCNC[C@@H]1C,S
Mol_153,(2R)-4-methylsulfonylbutan-2-ol,C[C@@H](O)CCS(C)(=O)=O,R
Mol_154,(2R)-4-methylsulfonylbutan-2-ol_enantiomer,C[C@H](O)CCS(C)(=O)=O,S
Mol_155,(2R)-2-bromobutanamide,CC[C@@H](Br)C(N)=O,R
Mol_156,(2R)-2-bromobutanamide_enantiomer,CC[C@H](Br)C(N)=O,S
Mol_157,(3R)-3-fluorohexan-1-ol,CCC[C@@H](F)CCO,R
Mol_158,(3R)-3-fluorohexan-1-ol_enantiomer,CCC[C@H](F)CCO,S
Mol_159,(2R)-2-(dimethylamino)propanamide,C[C@H](C(N)=O)N(C)C,R
Mol_160,(2R)-2-(dimethylamino)propanamide_enantiomer,C[C@@H](C(N)=O)N(C)C,S
Mol_161,[(3R)-4-ethylmorpholin-3-yl]methanamine,CCN1CCOC[C@H]1CN,R
Mol_162,[(3R)-4-ethylmorpholin-3-yl]methanamine_enantiomer,CCN1CCOC[C@@H]1CN,S
Mol_163,methyl (2R)-3-fluoro-2-methylpropanoate,COC(=O)[C@@H](C)CF,R
Mol_164,methyl (2R)-3-fluoro-2-methylpropanoate_enantiomer,COC(=O)[C@H](C)CF,S
Mol_165,(2R)-2-amino-2-(1-methylcyclopropyl)acetic acid,CC1([C@@H](N)C(=O)O)CC1,R
Mol_166,(2R)-2-amino-2-(1-methylcyclopropyl)acetic acid_enantiomer,CC1([C@H](N)C(=O)O)CC1,S
Mol_167,(3R)-3-(dimethylamino)pyrrolidin-2-one,CN(C)[C@@H]1CCNC1=O,R
Mol_168,(3R)-3-(dimethylamino)pyrrolidin-2-one_enantiomer,CN(C)[C@H]1CCNC1=O,S
Mol_169,"(8aR)-8a-methyl-2,3,4,6,7,8-hexahydro-1H-pyrrolo[1,2-a]pyrazine",C[C@]12CCCN1CCNC2,R
Mol_170,"(8aR)-8a-methyl-2,3,4,6,7,8-hexahydro-1H-pyrrolo[1,2-a]pyrazine_enantiomer",C[C@@]12CCCN1CCNC2,S
Mol_171,(3R)-4-amino-3-fluoro-2-methylbutan-2-ol;hydrochloride,CC(C)(O)[C@H](F)CN.Cl,R
